task,model,judge,criterion,n_samples,pearson_r,pearson_p,kendall_tau,kendall_p,spearman_r,spearman_p,mae,rmse,cohen_kappa,agreement_within_1,exact_agreement
interview,Salmon_summary,Llama,fluency,26,0.9795153847250273,3.2466655772961438e-18,0.9822208047333865,1.9395684105981225e-08,0.9929160855486108,1.0169702563862853e-23,0.038461538461538464,0.19611613513818404,0.941834451901566,1.0,0.9615384615384616
interview,Salmon_summary,Llama,faithfulness,26,0.7638990385502596,5.596102842827898e-06,0.7113229324978938,5.6119598670505784e-05,0.7655677983162106,5.188138382883621e-06,0.4230769230769231,0.8086075400626399,0.5251141552511416,0.8846153846153846,0.6923076923076923
interview,Salmon_summary,Llama,coverage,26,0.7508296122077719,9.920028906184197e-06,0.8637538307466709,2.1623991092357817e-06,0.9263285478090202,1.1539273625591738e-11,0.3076923076923077,0.7844645405527362,0.6941176470588235,0.9230769230769231,0.8076923076923077
interview,Salmon_summary,Llama,purity,26,0.9531350514175674,5.827121961552026e-14,0.9498713802919552,7.5003058764476e-07,0.9895879794716979,1.0164422584196228e-21,0.19230769230769232,0.5188745216627708,0.606060606060606,0.9615384615384616,0.8461538461538461
interview,Salmon_summary,Llama,usefulness,26,0.9324734275526619,4.190440549224282e-12,0.9118600385602312,7.609450645423885e-08,0.9444312486171001,4.301480359919219e-13,0.15384615384615385,0.3922322702763681,0.7877551020408163,1.0,0.8461538461538461
interview,Salmon_summary,Mistral,overall,26,0.6838548078646328,0.00011728670124243206,0.6281387013626524,0.00031701834626717294,0.6883859654865588,0.00010128522391543572,0.6153846153846154,0.8320502943378437,0.17894736842105252,0.9615384615384616,0.4230769230769231
interview,Salmon_summary,Mistral,fluency,26,0.4990048322731162,0.009457478252035306,0.5103153587515395,0.0035530320062974537,0.5664821618454681,0.002552547483282029,1.2307692307692308,1.5191090506254998,0.06024096385542166,0.6538461538461539,0.19230769230769232
interview,Salmon_summary,Mistral,faithfulness,26,0.5701982436633191,0.0023557233376292385,0.4757693774650227,0.00607352341259261,0.5295003217614214,0.00540649067104548,0.7307692307692307,0.9805806756909202,0.11489361702127654,0.8846153846153846,0.38461538461538464
interview,Salmon_summary,Mistral,coverage,26,0.6970221710193575,7.602962766301785e-05,0.5193780352245,0.0034460402946443324,0.5599268842152183,0.0029341007306470084,0.5769230769230769,0.8086075400626399,0.19469026548672563,0.9615384615384616,0.46153846153846156
interview,Salmon_summary,Mistral,purity,26,0.5219105239567052,0.00624338564446522,0.4384286482814133,0.022383142670674885,0.45676049325958,0.01899167549581122,0.7307692307692307,1.5566235649883124,0.1333333333333333,0.8076923076923077,0.7307692307692307
interview,Salmon_summary,Mistral,usefulness,26,0.6731710410794636,0.00016412152124513062,0.5957539047742478,0.0005672560425333906,0.6655485471291072,0.00020689947369613475,0.5769230769230769,0.8987170342729172,0.3580246913580247,0.8846153846153846,0.5384615384615384
interview,Salmon_summary,Qwen,overall,26,0.6332822235527157,0.0005154167551974158,0.5712812470877013,0.001647349656592331,0.613867226247486,0.000851303913252169,1.1923076923076923,1.427747014866968,-0.04379562043795615,0.7307692307692307,0.15384615384615385
interview,Salmon_summary,Qwen,fluency,26,0.2966708316349186,0.14110179530605907,0.30613927666480734,0.09495823698702456,0.33197964686634607,0.09754131421992601,1.0384615384615385,1.3155870289605438,-0.07216494845360821,0.8076923076923077,0.23076923076923078
interview,Salmon_summary,Qwen,faithfulness,26,0.8099967340362375,5.342100233404605e-07,0.728297254093596,3.9781111578155736e-05,0.7774245316612008,2.9751736942419643e-06,0.8846153846153846,1.0561177090573832,0.022556390977443552,0.8846153846153846,0.23076923076923078
interview,Salmon_summary,Qwen,coverage,26,0.7413727656280097,1.4697891998582828e-05,0.7619563892371418,2.3319585707127657e-05,0.8041418714361855,7.44393840016105e-07,1.7307692307692308,1.8292495308606331,-0.028481012658228,0.2692307692307692,0.038461538461538464
interview,Salmon_summary,Qwen,purity,26,,,,,,,0.8846153846153846,1.9115036368906426,0.0,0.7692307692307693,0.7692307692307693
